apartment_id,apartment_name,region_code,region_name,announcement_date,supply_year,supply_quarter,general_supply_units,sale_price,competition_rate,area_m2
2026000178,중앙하이츠 원종역,410,경기,2026-05-08,2026,2,2,56070.0,0.0,69.56
2026000172,두산위브 트리니뷰 구명역,600,부산,2026-05-08,2026,2,3,75900.0,0.0,84.983
2026000132,청주 한양립스 더 벨루체,360,충북,2026-05-08,2026,2,417,0.0,0.0,0.0
2026000169,더샵 송도그란테르 G5-11블록,400,인천,2026-05-07,2026,2,2,334500.0,0.0,198.86
2026000168,더샵 송도그란테르 G5-6블록,400,인천,2026-05-07,2026,2,1,336900.0,0.0,198.23
2026000167,더샵 송도그란테르 G5-5블록,400,인천,2026-05-07,2026,2,1,331500.0,0.0,198.23
2026000166,더샵 송도그란테르 G5-4블록,400,인천,2026-05-07,2026,2,1,324300.0,0.0,198.23
2026000165,더샵 송도그란테르 G5-3블록,400,인천,2026-05-07,2026,2,1,327900.0,0.0,198.23
2026000164,더샵 송도그란테르 G5-1블록,400,인천,2026-05-07,2026,2,2,333400.0,0.0,198.4
2026000147,힐스테이트 구월아트파크,400,인천,2026-05-06,2026,2,496,0.0,0.0,0.0
2026000174,더샵 중앙로역센터폴,700,대구,2026-05-04,2026,2,4,173716.0,0.0,167.4697
2026820003,인천계양 A9블록 신혼희망타운(공공분양)(본청약),400,인천,2026-04-30,2026,2,317,49999.0,0.0,55.9
2026820002,시흥하중지구 A1블록 신혼희망타운(공공분양)(본청약),410,경기,2026-04-30,2026,2,400,42298.0,0.0,55.0
2026000193,남양주왕숙2 A-3블록 공공분양주택(본청약),410,경기,2026-04-30,2026,2,1,73245.0,0.0,84.0
2026000185,덕진 거제의 봄 우선분양전환 후 공가세대,621,경남,2026-04-30,2026,2,26,17360.0,0.0,84.9134
2026000170,상주북천 하늘채 파크원,712,경북,2026-04-30,2026,2,92,63700.0,0.0,117.5756
2026000163,메트로시티 자산 데시앙,621,경남,2026-04-30,2026,2,42,54620.0,0.0,84.6222
2026000142,왕숙 아테라 공공분양주택(본청약),410,경기,2026-04-30,2026,2,812,0.0,0.0,0.0
2026000128,고양 창릉 우미 린 그레니티 공공분양주택(본청약),410,경기,2026-04-30,2026,2,494,0.0,0.0,0.0
2026000126,안양 에버포레 자연앤 e편한세상(A2BL),410,경기,2026-04-30,2026,2,344,0.0,0.0,0.0
2026000125,안양 에버포레 자연앤 e편한세상(A1BL),410,경기,2026-04-30,2026,2,60,0.0,0.0,0.0
2026000053,공주월송 진아레히,312,충남,2026-04-30,2026,2,811,0.0,0.0,0.0
