log_cmpet_rate,SUPLY_HSHLDCO,spsply_ratio,SUBSCRPT_RANK_CODE,RESIDE_SECD,SPECLT_RDN_EARTH_AT,MDAT_TRGET_AREA_SECD,PARCPRC_ULS_AT,IMPRMN_BSNS_AT,PUBLIC_HOUSE_EARTH_AT,LRSCL_BLDLND_AT,NPLN_PRVOPR_PUBLIC_HOUSE_AT,log_lttot_top_amount,house_area,is_top_brand,price_rank_in_region,cmpet_rank_in_region,region_score_lag1,region_score_roll5_mean,region_score_roll5_std,notice_year,notice_month,LWET_SCORE
0.18232155679395465,15,0.0,2,2,0,0,0,0,0,0,0,4.55024058653017,84.0,0,0.030357142857142857,0.38035714285714284,,,,2020,2,11.0
0.125163142954006,15,0.0,1,2,0,0,0,0,0,0,0,4.55024058653017,84.0,0,0.030357142857142857,0.3678571428571429,,,,2020,2,11.0
0.06453852113757111,15,0.0,1,1,0,0,0,0,0,0,0,4.55024058653017,84.0,0,0.030357142857142857,0.3607142857142857,,,,2020,2,12.0
0.2876820724517809,15,0.0,2,1,0,0,0,0,0,0,0,4.55024058653017,84.0,0,0.030357142857142857,0.40714285714285714,,,,2020,2,12.0
0.0,22,0.45454545454545453,2,1,0,0,0,0,0,0,0,4.658974366561803,74.0,0,0.3927843803056027,0.1865025466893039,,,,2020,2,23.0
0.5465437063680699,22,0.45454545454545453,1,1,0,0,0,0,0,0,0,4.658974366561803,74.0,0,0.3927843803056027,0.4870967741935484,,,,2020,2,23.0
0.0,43,0.37209302325581395,2,1,0,0,0,0,0,0,0,4.658974366561803,74.0,0,0.3927843803056027,0.1865025466893039,,,,2020,2,43.0
0.5014797613477531,43,0.37209302325581395,1,1,0,0,0,0,0,0,0,4.658974366561803,74.0,0,0.3927843803056027,0.47368421052631576,,,,2020,2,43.0
0.23638877806423034,30,0.4666666666666667,1,3,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.40891341256366726,33.0,33.0,,2020,2,18.0
0.26236426446749106,30,0.4666666666666667,1,2,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.41494057724957556,33.0,33.0,,2020,2,13.0
0.125163142954006,30,0.4666666666666667,1,1,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.3876061120543294,33.0,33.0,,2020,2,10.0
0.0,405,0.7530864197530864,2,1,0,0,0,1,0,0,0,4.814254256639151,84.0,1,0.7528862478777589,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,69.0
4.609653946055894,405,0.7530864197530864,1,1,0,0,0,1,0,0,0,4.814254256639151,84.0,1,0.7528862478777589,0.9797962648556876,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,69.0
0.0,220,0.740909090909091,2,1,0,0,0,1,0,0,0,4.749744043160131,74.0,1,0.6462648556876062,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,63.0
3.85217648989939,220,0.740909090909091,1,1,0,0,0,1,0,0,0,4.749744043160131,74.0,1,0.6462648556876062,0.9560271646859083,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,63.0
0.0,21,0.6666666666666666,2,1,0,0,0,1,0,0,0,4.670255132771604,59.0,1,0.4269100169779287,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,59.0
3.9401686295507394,110,0.7090909090909091,1,1,0,0,0,1,0,0,0,4.758162201211584,74.0,1,0.6617147707979627,0.9585738539898132,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,64.0
0.5108256237659906,30,0.4666666666666667,2,2,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.4770797962648557,33.0,33.0,,2020,2,13.0
4.102249741729214,21,0.6666666666666666,1,1,0,0,0,1,0,0,0,4.670255132771604,59.0,1,0.4269100169779287,0.9629881154499151,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,59.0
