CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
(△39),2025000545,118.1152 ,05,2025000545,3,01,해당지역,1,42
(△39),2025000545,118.1152 ,05,2025000545,0,02,기타지역,1,42
(△39),2025000545,118.1152 ,05,2025000545,0,01,해당지역,2,42
(△39),2025000545,118.1152 ,05,2025000545,0,02,기타지역,2,42
(△349),2025000542,083.1404A,01,2025000542,98,01,해당지역,1,447
(△344),2025000542,083.1404A,01,2025000542,5,02,기타지역,1,447
(△319),2025000542,083.1404A,01,2025000542,25,01,해당지역,2,447
(△318),2025000542,083.1404A,01,2025000542,1,02,기타지역,2,447
(△31),2025000542,083.1679B,02,2025000542,4,01,해당지역,1,35
(△29),2025000542,083.1679B,02,2025000542,2,02,기타지역,1,35
(△27),2025000542,083.1679B,02,2025000542,2,01,해당지역,2,35
(△27),2025000542,083.1679B,02,2025000542,0,02,기타지역,2,35
23.64,2025000541,084.7310A,01,2025000541,260,01,해당지역,1,11
-,2025000541,084.7310A,01,2025000541,54,02,기타지역,1,11
-,2025000541,084.7310A,01,2025000541,0,01,해당지역,2,11
-,2025000541,084.7310A,01,2025000541,0,02,기타지역,2,11
52.00,2025000541,084.8316B,02,2025000541,1612,01,해당지역,1,31
-,2025000541,084.8316B,02,2025000541,222,02,기타지역,1,31
-,2025000541,084.8316B,02,2025000541,0,01,해당지역,2,31
-,2025000541,084.8316B,02,2025000541,0,02,기타지역,2,31
11.19,2025000541,084.8634C,03,2025000541,291,01,해당지역,1,26
-,2025000541,084.8634C,03,2025000541,62,02,기타지역,1,26
-,2025000541,084.8634C,03,2025000541,0,01,해당지역,2,26
-,2025000541,084.8634C,03,2025000541,0,02,기타지역,2,26
17.75,2025000541,115.4724 ,04,2025000541,71,01,해당지역,1,4
-,2025000541,115.4724 ,04,2025000541,10,02,기타지역,1,4
-,2025000541,115.4724 ,04,2025000541,0,01,해당지역,2,4
-,2025000541,115.4724 ,04,2025000541,0,02,기타지역,2,4
6.70,2025000541,120.9972A,05,2025000541,442,01,해당지역,1,66
-,2025000541,120.9972A,05,2025000541,83,02,기타지역,1,66
-,2025000541,120.9972A,05,2025000541,0,01,해당지역,2,66
-,2025000541,120.9972A,05,2025000541,0,02,기타지역,2,66
4.18,2025000541,120.1491B,06,2025000541,117,01,해당지역,1,28
-,2025000541,120.1491B,06,2025000541,29,02,기타지역,1,28
-,2025000541,120.1491B,06,2025000541,144,01,해당지역,2,28
-,2025000541,120.1491B,06,2025000541,33,02,기타지역,2,28
1.50,2025000541,136.2908A,07,2025000541,30,01,해당지역,1,20
-,2025000541,136.2908A,07,2025000541,6,02,기타지역,1,20
-,2025000541,136.2908A,07,2025000541,22,01,해당지역,2,20
-,2025000541,136.2908A,07,2025000541,9,02,기타지역,2,20
2.19,2025000541,136.9660B,08,2025000541,57,01,해당지역,1,26
-,2025000541,136.9660B,08,2025000541,18,02,기타지역,1,26
-,2025000541,136.9660B,08,2025000541,18,01,해당지역,2,26
-,2025000541,136.9660B,08,2025000541,3,02,기타지역,2,26
18.00,2025000541,175.3866P,09,2025000541,36,01,해당지역,1,2
-,2025000541,175.3866P,09,2025000541,7,02,기타지역,1,2
-,2025000541,175.3866P,09,2025000541,0,01,해당지역,2,2
-,2025000541,175.3866P,09,2025000541,0,02,기타지역,2,2
46.35,2025000537,084.4484A,01,2025000537,2781,01,해당지역,1,60
-,2025000537,084.4484A,01,2025000537,0,02,기타지역,1,60
-,2025000537,084.4484A,01,2025000537,0,01,해당지역,2,60
-,2025000537,084.4484A,01,2025000537,0,02,기타지역,2,60
24.00,2025000537,084.9330B,02,2025000537,624,01,해당지역,1,26
-,2025000537,084.9330B,02,2025000537,0,02,기타지역,1,26
-,2025000537,084.9330B,02,2025000537,0,01,해당지역,2,26
-,2025000537,084.9330B,02,2025000537,0,02,기타지역,2,26
25.21,2025000537,084.6066C,03,2025000537,605,01,해당지역,1,24
-,2025000537,084.6066C,03,2025000537,0,02,기타지역,1,24
-,2025000537,084.6066C,03,2025000537,0,01,해당지역,2,24
-,2025000537,084.6066C,03,2025000537,0,02,기타지역,2,24
3.00,2025000535,078.3408 ,01,2025000535,3,01,해당지역,1,1
-,2025000535,078.3408 ,01,2025000535,0,02,기타지역,1,1
-,2025000535,078.3408 ,01,2025000535,12,01,해당지역,2,1
-,2025000535,078.3408 ,01,2025000535,3,02,기타지역,2,1
36.59,2025000532,084.9968A,01,2025000532,2049,01,해당지역,1,56
-,2025000532,084.9968A,01,2025000532,159,02,기타지역,1,56
-,2025000532,084.9968A,01,2025000532,0,01,해당지역,2,56
-,2025000532,084.9968A,01,2025000532,0,02,기타지역,2,56
7.09,2025000532,084.9578B,02,2025000532,78,01,해당지역,1,11
-,2025000532,084.9578B,02,2025000532,7,02,기타지역,1,11
-,2025000532,084.9578B,02,2025000532,0,01,해당지역,2,11
-,2025000532,084.9578B,02,2025000532,0,02,기타지역,2,11
9.08,2025000532,084.9807C,03,2025000532,118,01,해당지역,1,13
-,2025000532,084.9807C,03,2025000532,12,02,기타지역,1,13
-,2025000532,084.9807C,03,2025000532,0,01,해당지역,2,13
-,2025000532,084.9807C,03,2025000532,0,02,기타지역,2,13
6.91,2025000532,084.7759D,04,2025000532,380,01,해당지역,1,55
-,2025000532,084.7759D,04,2025000532,54,02,기타지역,1,55
-,2025000532,084.7759D,04,2025000532,0,01,해당지역,2,55
-,2025000532,084.7759D,04,2025000532,0,02,기타지역,2,55
22.94,2025000530,084.8800A,01,2025000530,413,01,해당지역,1,18
-,2025000530,084.8800A,01,2025000530,963,02,기타지역,1,18
-,2025000530,084.8800A,01,2025000530,0,01,해당지역,2,18
-,2025000530,084.8800A,01,2025000530,0,02,기타지역,2,18
28.50,2025000530,084.9600B,02,2025000530,57,01,해당지역,1,2
-,2025000530,084.9600B,02,2025000530,149,02,기타지역,1,2
-,2025000530,084.9600B,02,2025000530,0,01,해당지역,2,2
-,2025000530,084.9600B,02,2025000530,0,02,기타지역,2,2
16.21,2025000530,084.9700C,03,2025000530,227,01,해당지역,1,14
-,2025000530,084.9700C,03,2025000530,502,02,기타지역,1,14
-,2025000530,084.9700C,03,2025000530,0,01,해당지역,2,14
-,2025000530,084.9700C,03,2025000530,0,02,기타지역,2,14
(△75),2025000529,059.9616 ,01,2025000529,5,01,해당지역,1,267
(△253),2025000529,059.9616 ,01,2025000529,4,02,기타지역,1,267
(△123),2025000529,059.9616 ,01,2025000529,5,03,기타경기,1,267
(△74),2025000529,059.9616 ,01,2025000529,2,01,해당지역,2,267
(△243),2025000529,059.9616 ,01,2025000529,3,02,기타지역,2,267
(△120),2025000529,059.9616 ,01,2025000529,5,03,기타경기,2,267
(△80),2025000529,084.9945A,02,2025000529,3,01,해당지역,1,276
(△272),2025000529,084.9945A,02,2025000529,1,02,기타지역,1,276
(△135),2025000529,084.9945A,02,2025000529,0,03,기타경기,1,276
(△79),2025000529,084.9945A,02,2025000529,3,01,해당지역,2,276
(△266),2025000529,084.9945A,02,2025000529,1,02,기타지역,2,276
(△131),2025000529,084.9945A,02,2025000529,2,03,기타경기,2,276
(△138),2025000529,084.9948B,03,2025000529,2,01,해당지역,1,467
(△462),2025000529,084.9948B,03,2025000529,0,02,기타지역,1,467
(△228),2025000529,084.9948B,03,2025000529,3,03,기타경기,1,467
(△138),2025000529,084.9948B,03,2025000529,1,01,해당지역,2,467
(△457),2025000529,084.9948B,03,2025000529,1,02,기타지역,2,467
(△227),2025000529,084.9948B,03,2025000529,3,03,기타경기,2,467
(△57),2025000529,084.9987C,04,2025000529,0,01,해당지역,1,190
(△189),2025000529,084.9987C,04,2025000529,0,02,기타지역,1,190
(△94),2025000529,084.9987C,04,2025000529,1,03,기타경기,1,190
(△57),2025000529,084.9987C,04,2025000529,0,01,해당지역,2,190
(△188),2025000529,084.9987C,04,2025000529,1,02,기타지역,2,190
(△95),2025000529,084.9987C,04,2025000529,0,03,기타경기,2,190
(△112),2025000529,106.9995 ,05,2025000529,1,01,해당지역,1,377
(△375),2025000529,106.9995 ,05,2025000529,0,02,기타지역,1,377
(△186),2025000529,106.9995 ,05,2025000529,1,03,기타경기,1,377
(△113),2025000529,106.9995 ,05,2025000529,0,01,해당지역,2,377
(△371),2025000529,106.9995 ,05,2025000529,2,02,기타지역,2,377
(△186),2025000529,106.9995 ,05,2025000529,2,03,기타경기,2,377
245.16,2025000527,059.9400A,01,2025000527,25251,01,해당지역,1,103
-,2025000527,059.9400A,01,2025000527,0,02,기타지역,1,103
-,2025000527,059.9400A,01,2025000527,0,01,해당지역,2,103
-,2025000527,059.9400A,01,2025000527,0,02,기타지역,2,103
198.59,2025000527,059.9800B,02,2025000527,11518,01,해당지역,1,58
-,2025000527,059.9800B,02,2025000527,0,02,기타지역,1,58
-,2025000527,059.9800B,02,2025000527,0,01,해당지역,2,58
-,2025000527,059.9800B,02,2025000527,0,02,기타지역,2,58
152.31,2025000527,059.8500C,03,2025000527,1980,01,해당지역,1,13
-,2025000527,059.8500C,03,2025000527,0,02,기타지역,1,13
-,2025000527,059.8500C,03,2025000527,0,01,해당지역,2,13
-,2025000527,059.8500C,03,2025000527,0,02,기타지역,2,13
143.26,2025000527,059.9100D,04,2025000527,4871,01,해당지역,1,34
-,2025000527,059.9100D,04,2025000527,0,02,기타지역,1,34
-,2025000527,059.9100D,04,2025000527,0,01,해당지역,2,34
-,2025000527,059.9100D,04,2025000527,0,02,기타지역,2,34
457.33,2025000527,084.9100A,05,2025000527,2744,01,해당지역,1,6
-,2025000527,084.9100A,05,2025000527,0,02,기타지역,1,6
-,2025000527,084.9100A,05,2025000527,0,01,해당지역,2,6
-,2025000527,084.9100A,05,2025000527,0,02,기타지역,2,6
531.43,2025000527,084.9600B,06,2025000527,7440,01,해당지역,1,14
-,2025000527,084.9600B,06,2025000527,0,02,기타지역,1,14
-,2025000527,084.9600B,06,2025000527,0,01,해당지역,2,14
-,2025000527,084.9600B,06,2025000527,0,02,기타지역,2,14
413.50,2025000527,084.9600C,07,2025000527,827,01,해당지역,1,2
-,2025000527,084.9600C,07,2025000527,0,02,기타지역,1,2
-,2025000527,084.9600C,07,2025000527,0,01,해당지역,2,2
-,2025000527,084.9600C,07,2025000527,0,02,기타지역,2,2
(△7),2025000526,064.9409 ,01,2025000526,2,01,해당지역,1,9
(△2),2025000526,064.9409 ,01,2025000526,5,02,기타지역,1,9
(△1),2025000526,064.9409 ,01,2025000526,1,01,해당지역,2,9
1.00,2025000526,064.9409 ,01,2025000526,1,02,기타지역,2,9
1.00,2025000526,074.7351 ,02,2025000526,4,01,해당지역,1,4
-,2025000526,074.7351 ,02,2025000526,3,02,기타지역,1,4
-,2025000526,074.7351 ,02,2025000526,2,01,해당지역,2,4
-,2025000526,074.7351 ,02,2025000526,2,02,기타지역,2,4
(△4),2025000526,084.7942A,03,2025000526,5,01,해당지역,1,9
(△1),2025000526,084.7942A,03,2025000526,3,02,기타지역,1,9
1.00,2025000526,084.7942A,03,2025000526,1,01,해당지역,2,9
-,2025000526,084.7942A,03,2025000526,10,02,기타지역,2,9
7.60,2025000526,084.9432B,04,2025000526,38,01,해당지역,1,5
-,2025000526,084.9432B,04,2025000526,6,02,기타지역,1,5
-,2025000526,084.9432B,04,2025000526,0,01,해당지역,2,5
-,2025000526,084.9432B,04,2025000526,0,02,기타지역,2,5
(△3),2025000524,080.9668A,01,2025000524,1,01,해당지역,1,4
3.67,2025000524,080.9668A,01,2025000524,11,02,기타지역,1,4
-,2025000524,080.9668A,01,2025000524,1,01,해당지역,2,4
-,2025000524,080.9668A,01,2025000524,11,02,기타지역,2,4
(△381),2025000524,084.8950A,02,2025000524,11,01,해당지역,1,392
(△347),2025000524,084.8950A,02,2025000524,34,02,기타지역,1,392
(△341),2025000524,084.8950A,02,2025000524,6,01,해당지역,2,392
(△316),2025000524,084.8950A,02,2025000524,25,02,기타지역,2,392
(△39),2025000524,084.9026B,03,2025000524,4,01,해당지역,1,43
(△34),2025000524,084.9026B,03,2025000524,5,02,기타지역,1,43
(△34),2025000524,084.9026B,03,2025000524,0,01,해당지역,2,43
(△28),2025000524,084.9026B,03,2025000524,6,02,기타지역,2,43
(△103),2025000524,084.7881C,04,2025000524,2,01,해당지역,1,105
(△92),2025000524,084.7881C,04,2025000524,11,02,기타지역,1,105
(△92),2025000524,084.7881C,04,2025000524,0,01,해당지역,2,105
(△86),2025000524,084.7881C,04,2025000524,6,02,기타지역,2,105
(△53),2025000524,084.9716D,05,2025000524,3,01,해당지역,1,56
(△52),2025000524,084.9716D,05,2025000524,1,02,기타지역,1,56
(△52),2025000524,084.9716D,05,2025000524,0,01,해당지역,2,56
(△50),2025000524,084.9716D,05,2025000524,2,02,기타지역,2,56
(△69),2025000524,084.9663E,06,2025000524,0,01,해당지역,1,69
(△65),2025000524,084.9663E,06,2025000524,4,02,기타지역,1,69
(△64),2025000524,084.9663E,06,2025000524,1,01,해당지역,2,69
(△63),2025000524,084.9663E,06,2025000524,1,02,기타지역,2,69
1.00,2025000524,134.9990A,07,2025000524,1,01,해당지역,1,1
-,2025000524,134.9990A,07,2025000524,1,02,기타지역,1,1
-,2025000524,134.9990A,07,2025000524,0,01,해당지역,2,1
-,2025000524,134.9990A,07,2025000524,0,02,기타지역,2,1
(△1),2025000524,134.9381B,08,2025000524,0,01,해당지역,1,1
1.00,2025000524,134.9381B,08,2025000524,1,02,기타지역,1,1
-,2025000524,134.9381B,08,2025000524,0,01,해당지역,2,1
-,2025000524,134.9381B,08,2025000524,0,02,기타지역,2,1
(△3),2025000524,134.9605C,09,2025000524,0,01,해당지역,1,3
(△3),2025000524,134.9605C,09,2025000524,0,02,기타지역,1,3
(△3),2025000524,134.9605C,09,2025000524,0,01,해당지역,2,3
(△2),2025000524,134.9605C,09,2025000524,1,02,기타지역,2,3
(△31),2025000519,074.6797A,01,2025000519,11,01,해당지역,1,42
(△25),2025000519,074.6797A,01,2025000519,6,02,기타지역,1,42
(△19),2025000519,074.6797A,01,2025000519,6,01,해당지역,2,42
(△18),2025000519,074.6797A,01,2025000519,1,02,기타지역,2,42
(△24),2025000519,084.8830A,02,2025000519,9,01,해당지역,1,33
(△21),2025000519,084.8830A,02,2025000519,3,02,기타지역,1,33
(△20),2025000519,084.8830A,02,2025000519,1,01,해당지역,2,33
(△20),2025000519,084.8830A,02,2025000519,0,02,기타지역,2,33
(△31),2025000519,084.6971B,03,2025000519,3,01,해당지역,1,34
(△28),2025000519,084.6971B,03,2025000519,3,02,기타지역,1,34
(△28),2025000519,084.6971B,03,2025000519,0,01,해당지역,2,34
(△28),2025000519,084.6971B,03,2025000519,0,02,기타지역,2,34
(△12),2025000519,084.9819C,04,2025000519,27,01,해당지역,1,39
(△9),2025000519,084.9819C,04,2025000519,3,02,기타지역,1,39
(△1),2025000519,084.9819C,04,2025000519,8,01,해당지역,2,39
2.00,2025000519,084.9819C,04,2025000519,2,02,기타지역,2,39
(△25),2025000519,084.8666D,05,2025000519,18,01,해당지역,1,43
(△21),2025000519,084.8666D,05,2025000519,4,02,기타지역,1,43
(△16),2025000519,084.8666D,05,2025000519,5,01,해당지역,2,43
(△14),2025000519,084.8666D,05,2025000519,2,02,기타지역,2,43
(△35),2025000519,084.7247E,06,2025000519,6,01,해당지역,1,41
(△35),2025000519,084.7247E,06,2025000519,0,02,기타지역,1,41
(△35),2025000519,084.7247E,06,2025000519,0,01,해당지역,2,41
(△35),2025000519,084.7247E,06,2025000519,0,02,기타지역,2,41
(△28),2025000515,084.5193A,01,2025000515,5,01,해당지역,1,33
(△26),2025000515,084.5193A,01,2025000515,2,02,기타지역,1,33
(△24),2025000515,084.5193A,01,2025000515,2,01,해당지역,2,33
(△24),2025000515,084.5193A,01,2025000515,0,02,기타지역,2,33
(△31),2025000515,084.6071B,02,2025000515,3,01,해당지역,1,34
(△31),2025000515,084.6071B,02,2025000515,0,02,기타지역,1,34
(△31),2025000515,084.6071B,02,2025000515,0,01,해당지역,2,34
(△27),2025000515,084.6071B,02,2025000515,4,02,기타지역,2,34
(△48),2025000515,084.6953C,03,2025000515,4,01,해당지역,1,52
(△47),2025000515,084.6953C,03,2025000515,1,02,기타지역,1,52
(△47),2025000515,084.6953C,03,2025000515,0,01,해당지역,2,52
(△47),2025000515,084.6953C,03,2025000515,0,02,기타지역,2,52
7.82,2025000514,074.0807A,01,2025000514,1611,01,해당지역,1,206
-,2025000514,074.0807A,01,2025000514,1072,02,기타지역,1,206
-,2025000514,074.0807A,01,2025000514,0,01,해당지역,2,206
-,2025000514,074.0807A,01,2025000514,0,02,기타지역,2,206
3.27,2025000514,074.0362B,02,2025000514,363,01,해당지역,1,111
-,2025000514,074.0362B,02,2025000514,382,02,기타지역,1,111
-,2025000514,074.0362B,02,2025000514,0,01,해당지역,2,111
-,2025000514,074.0362B,02,2025000514,0,02,기타지역,2,111
19.60,2025000514,084.6290A,03,2025000514,3509,01,해당지역,1,179
-,2025000514,084.6290A,03,2025000514,1782,02,기타지역,1,179
-,2025000514,084.6290A,03,2025000514,0,01,해당지역,2,179
-,2025000514,084.6290A,03,2025000514,0,02,기타지역,2,179
11.03,2025000514,084.9946B,04,2025000514,441,01,해당지역,1,40
-,2025000514,084.9946B,04,2025000514,252,02,기타지역,1,40
-,2025000514,084.9946B,04,2025000514,0,01,해당지역,2,40
-,2025000514,084.9946B,04,2025000514,0,02,기타지역,2,40
8.32,2025000514,084.5088C,05,2025000514,183,01,해당지역,1,22
-,2025000514,084.5088C,05,2025000514,126,02,기타지역,1,22
-,2025000514,084.5088C,05,2025000514,0,01,해당지역,2,22
-,2025000514,084.5088C,05,2025000514,0,02,기타지역,2,22
(△39),2025000512,084.9936A,01,2025000512,171,01,해당지역,1,210
(△25),2025000512,084.9936A,01,2025000512,14,02,기타지역,1,210
4.00,2025000512,084.9936A,01,2025000512,100,01,해당지역,2,210
-,2025000512,084.9936A,01,2025000512,13,02,기타지역,2,210
(△83),2025000512,084.9699B,02,2025000512,86,01,해당지역,1,169
(△73),2025000512,084.9699B,02,2025000512,10,02,기타지역,1,169
(△24),2025000512,084.9699B,02,2025000512,49,01,해당지역,2,169
(△21),2025000512,084.9699B,02,2025000512,3,02,기타지역,2,169
(△30),2025000512,099.9273 ,03,2025000512,26,01,해당지역,1,56
(△26),2025000512,099.9273 ,03,2025000512,4,02,기타지역,1,56
(△7),2025000512,099.9273 ,03,2025000512,19,01,해당지역,2,56
(△5),2025000512,099.9273 ,03,2025000512,2,02,기타지역,2,56
7.65,2025000510,059.9371A,01,2025000510,704,01,해당지역,1,92
-,2025000510,059.9371A,01,2025000510,700,02,기타지역,1,92
-,2025000510,059.9371A,01,2025000510,0,01,해당지역,2,92
-,2025000510,059.9371A,01,2025000510,0,02,기타지역,2,92
4.09,2025000510,059.9137B,02,2025000510,135,01,해당지역,1,33
-,2025000510,059.9137B,02,2025000510,169,02,기타지역,1,33
-,2025000510,059.9137B,02,2025000510,0,01,해당지역,2,33
-,2025000510,059.9137B,02,2025000510,0,02,기타지역,2,33
32.00,2025000510,084.4545B,03,2025000510,32,01,해당지역,1,1
-,2025000510,084.4545B,03,2025000510,39,02,기타지역,1,1
-,2025000510,084.4545B,03,2025000510,0,01,해당지역,2,1
-,2025000510,084.4545B,03,2025000510,0,02,기타지역,2,1
36.00,2025000510,084.8080C,04,2025000510,36,01,해당지역,1,1
-,2025000510,084.8080C,04,2025000510,36,02,기타지역,1,1
-,2025000510,084.8080C,04,2025000510,0,01,해당지역,2,1
-,2025000510,084.8080C,04,2025000510,0,02,기타지역,2,1
(△292),2025000509,084.9935A,01,2025000509,14,01,해당지역,1,306
(△286),2025000509,084.9935A,01,2025000509,6,02,기타지역,1,306
(△275),2025000509,084.9935A,01,2025000509,11,01,해당지역,2,306
(△275),2025000509,084.9935A,01,2025000509,0,02,기타지역,2,306
(△265),2025000509,084.9964B,02,2025000509,9,01,해당지역,1,274
(△262),2025000509,084.9964B,02,2025000509,3,02,기타지역,1,274
(△260),2025000509,084.9964B,02,2025000509,2,01,해당지역,2,274
(△257),2025000509,084.9964B,02,2025000509,3,02,기타지역,2,274
(△24),2025000509,084.9982C,03,2025000509,2,01,해당지역,1,26
(△24),2025000509,084.9982C,03,2025000509,0,02,기타지역,1,26
(△21),2025000509,084.9982C,03,2025000509,3,01,해당지역,2,26
(△20),2025000509,084.9982C,03,2025000509,1,02,기타지역,2,26
(△591),2025000509,084.9915D,04,2025000509,25,01,해당지역,1,616
(△578),2025000509,084.9915D,04,2025000509,13,02,기타지역,1,616
(△573),2025000509,084.9915D,04,2025000509,5,01,해당지역,2,616
(△571),2025000509,084.9915D,04,2025000509,2,02,기타지역,2,616
(△180),2025000508,033.2050B,01,2025000508,2,01,해당지역,1,182
(△178),2025000508,033.2050B,01,2025000508,2,02,기타지역,1,182
(△177),2025000508,033.2050B,01,2025000508,1,01,해당지역,2,182
(△176),2025000508,033.2050B,01,2025000508,1,02,기타지역,2,182
(△1),2025000506,046.9700N,01,2025000506,3,01,해당지역,1,4
6.00,2025000506,046.9700N,01,2025000506,6,02,기타지역,1,4
-,2025000506,046.9700N,01,2025000506,1,01,해당지역,2,4
-,2025000506,046.9700N,01,2025000506,3,02,기타지역,2,4
(△3),2025000506,060.1600H,02,2025000506,1,01,해당지역,1,4
1.33,2025000506,060.1600H,02,2025000506,4,02,기타지역,1,4
-,2025000506,060.1600H,02,2025000506,0,01,해당지역,2,4
-,2025000506,060.1600H,02,2025000506,1,02,기타지역,2,4
(△4),2025000506,060.8900J,03,2025000506,0,01,해당지역,1,4
(△3),2025000506,060.8900J,03,2025000506,1,02,기타지역,1,4
(△3),2025000506,060.8900J,03,2025000506,0,01,해당지역,2,4
(△2),2025000506,060.8900J,03,2025000506,1,02,기타지역,2,4
(△4),2025000506,061.7100K,04,2025000506,0,01,해당지역,1,4
(△4),2025000506,061.7100K,04,2025000506,0,02,기타지역,1,4
(△4),2025000506,061.7100K,04,2025000506,0,01,해당지역,2,4
(△3),2025000506,061.7100K,04,2025000506,1,02,기타지역,2,4
(△1),2025000506,063.0700P,05,2025000506,0,01,해당지역,1,1
1.00,2025000506,063.0700P,05,2025000506,1,02,기타지역,1,1
-,2025000506,063.0700P,05,2025000506,0,01,해당지역,2,1
-,2025000506,063.0700P,05,2025000506,1,02,기타지역,2,1
(△3),2025000506,067.0500I,06,2025000506,1,01,해당지역,1,4
1.67,2025000506,067.0500I,06,2025000506,5,02,기타지역,1,4
-,2025000506,067.0500I,06,2025000506,0,01,해당지역,2,4
-,2025000506,067.0500I,06,2025000506,0,02,기타지역,2,4
1.00,2025000506,067.1100O,07,2025000506,1,01,해당지역,1,1
-,2025000506,067.1100O,07,2025000506,1,02,기타지역,1,1
-,2025000506,067.1100O,07,2025000506,0,01,해당지역,2,1
-,2025000506,067.1100O,07,2025000506,0,02,기타지역,2,1
(△4),2025000506,068.2000L,08,2025000506,0,01,해당지역,1,4
(△1),2025000506,068.2000L,08,2025000506,3,02,기타지역,1,4
(△1),2025000506,068.2000L,08,2025000506,0,01,해당지역,2,4
1.00,2025000506,068.2000L,08,2025000506,1,02,기타지역,2,4
(△4),2025000506,068.2400M,09,2025000506,0,01,해당지역,1,4
(△4),2025000506,068.2400M,09,2025000506,0,02,기타지역,1,4
(△4),2025000506,068.2400M,09,2025000506,0,01,해당지역,2,4
(△3),2025000506,068.2400M,09,2025000506,1,02,기타지역,2,4
(△1),2025000506,068.3800Q,10,2025000506,0,01,해당지역,1,1
3.00,2025000506,068.3800Q,10,2025000506,3,02,기타지역,1,1
-,2025000506,068.3800Q,10,2025000506,0,01,해당지역,2,1
-,2025000506,068.3800Q,10,2025000506,1,02,기타지역,2,1
1.00,2025000506,069.0400R,11,2025000506,1,01,해당지역,1,1
-,2025000506,069.0400R,11,2025000506,3,02,기타지역,1,1
-,2025000506,069.0400R,11,2025000506,1,01,해당지역,2,1
-,2025000506,069.0400R,11,2025000506,3,02,기타지역,2,1
60.40,2025000501,066.0000 ,01,2025000501,1208,01,해당지역,1,20
-,2025000501,066.0000 ,01,2025000501,1297,02,기타지역,1,20
-,2025000501,066.0000 ,01,2025000501,0,01,해당지역,2,20
-,2025000501,066.0000 ,01,2025000501,0,02,기타지역,2,20
29.50,2025000501,074.0000 ,02,2025000501,118,01,해당지역,1,4
-,2025000501,074.0000 ,02,2025000501,145,02,기타지역,1,4
-,2025000501,074.0000 ,02,2025000501,0,01,해당지역,2,4
-,2025000501,074.0000 ,02,2025000501,0,02,기타지역,2,4
72.40,2025000501,084.9500 ,03,2025000501,362,01,해당지역,1,5
-,2025000501,084.9500 ,03,2025000501,380,02,기타지역,1,5
-,2025000501,084.9500 ,03,2025000501,0,01,해당지역,2,5
-,2025000501,084.9500 ,03,2025000501,0,02,기타지역,2,5
39.00,2025000501,084.7000 ,04,2025000501,78,01,해당지역,1,2
-,2025000501,084.7000 ,04,2025000501,87,02,기타지역,1,2
-,2025000501,084.7000 ,04,2025000501,0,01,해당지역,2,2
-,2025000501,084.7000 ,04,2025000501,0,02,기타지역,2,2
95.00,2025000501,084.6900 ,05,2025000501,95,01,해당지역,1,1
-,2025000501,084.6900 ,05,2025000501,74,02,기타지역,1,1
-,2025000501,084.6900 ,05,2025000501,0,01,해당지역,2,1
-,2025000501,084.6900 ,05,2025000501,0,02,기타지역,2,1
15.00,2025000501,084.6200 ,06,2025000501,45,01,해당지역,1,3
-,2025000501,084.6200 ,06,2025000501,47,02,기타지역,1,3
-,2025000501,084.6200 ,06,2025000501,0,01,해당지역,2,3
-,2025000501,084.6200 ,06,2025000501,0,02,기타지역,2,3
18.00,2025000501,084.3200 ,07,2025000501,18,01,해당지역,1,1
-,2025000501,084.3200 ,07,2025000501,27,02,기타지역,1,1
-,2025000501,084.3200 ,07,2025000501,0,01,해당지역,2,1
-,2025000501,084.3200 ,07,2025000501,0,02,기타지역,2,1
37.73,2025000501,084.0000 ,08,2025000501,415,01,해당지역,1,11
-,2025000501,084.0000 ,08,2025000501,325,02,기타지역,1,11
-,2025000501,084.0000 ,08,2025000501,0,01,해당지역,2,11
-,2025000501,084.0000 ,08,2025000501,0,02,기타지역,2,11
3.88,2025000500,050.8330A,01,2025000500,62,01,해당지역,1,16
-,2025000500,050.8330A,01,2025000500,11,02,기타지역,1,16
-,2025000500,050.8330A,01,2025000500,25,01,해당지역,2,16
-,2025000500,050.8330A,01,2025000500,7,02,기타지역,2,16
4.50,2025000500,050.5420B,02,2025000500,9,01,해당지역,1,2
-,2025000500,050.5420B,02,2025000500,2,02,기타지역,1,2
-,2025000500,050.5420B,02,2025000500,5,01,해당지역,2,2
-,2025000500,050.5420B,02,2025000500,2,02,기타지역,2,2
3.60,2025000500,050.5530C,03,2025000500,18,01,해당지역,1,5
-,2025000500,050.5530C,03,2025000500,1,02,기타지역,1,5
-,2025000500,050.5530C,03,2025000500,5,01,해당지역,2,5
-,2025000500,050.5530C,03,2025000500,4,02,기타지역,2,5
45.00,2025000500,059.7510A,04,2025000500,180,01,해당지역,1,4
-,2025000500,059.7510A,04,2025000500,31,02,기타지역,1,4
-,2025000500,059.7510A,04,2025000500,0,01,해당지역,2,4
-,2025000500,059.7510A,04,2025000500,0,02,기타지역,2,4
14.01,2025000499,084.9371A,01,2025000499,1541,01,해당지역,1,110
-,2025000499,084.9371A,01,2025000499,1163,02,기타지역,1,110
-,2025000499,084.9371A,01,2025000499,0,01,해당지역,2,110
-,2025000499,084.9371A,01,2025000499,0,02,기타지역,2,110
4.74,2025000499,084.9284B,02,2025000499,294,01,해당지역,1,62
-,2025000499,084.9284B,02,2025000499,320,02,기타지역,1,62
