CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
(△3),2026000130,084.1386C,04,2026000130,0,02,기타지역,1,4
(△2),2026000130,084.1386C,04,2026000130,1,01,해당지역,2,4
(△2),2026000130,084.1386C,04,2026000130,0,02,기타지역,2,4
(△4),2026000130,084.9333D,05,2026000130,0,01,해당지역,1,4
(△4),2026000130,084.9333D,05,2026000130,0,02,기타지역,1,4
(△4),2026000130,084.9333D,05,2026000130,0,01,해당지역,2,4
(△4),2026000130,084.9333D,05,2026000130,0,02,기타지역,2,4
(△2),2026000130,084.8300E,06,2026000130,0,01,해당지역,1,2
(△2),2026000130,084.8300E,06,2026000130,0,02,기타지역,1,2
(△2),2026000130,084.8300E,06,2026000130,0,01,해당지역,2,2
(△2),2026000130,084.8300E,06,2026000130,0,02,기타지역,2,2
(△5),2026000130,084.1140F,07,2026000130,1,01,해당지역,1,6
(△5),2026000130,084.1140F,07,2026000130,0,02,기타지역,1,6
(△5),2026000130,084.1140F,07,2026000130,0,01,해당지역,2,6
(△5),2026000130,084.1140F,07,2026000130,0,02,기타지역,2,6
(△14),2026000130,099.9896A,08,2026000130,0,01,해당지역,1,14
(△14),2026000130,099.9896A,08,2026000130,0,02,기타지역,1,14
(△13),2026000130,099.9896A,08,2026000130,1,01,해당지역,2,14
(△13),2026000130,099.9896A,08,2026000130,0,02,기타지역,2,14
(△2),2026000130,099.2980D,09,2026000130,1,01,해당지역,1,3
(△2),2026000130,099.2980D,09,2026000130,0,02,기타지역,1,3
(△1),2026000130,099.2980D,09,2026000130,1,01,해당지역,2,3
(△1),2026000130,099.2980D,09,2026000130,0,02,기타지역,2,3
14.48,2026000129,059.9015A,01,2026000129,333,01,해당지역,1,23
-,2026000129,059.9015A,01,2026000129,70,02,기타지역,1,23
-,2026000129,059.9015A,01,2026000129,0,01,해당지역,2,23
-,2026000129,059.9015A,01,2026000129,0,02,기타지역,2,23
5.82,2026000129,059.7714B,02,2026000129,262,01,해당지역,1,45
-,2026000129,059.7714B,02,2026000129,60,02,기타지역,1,45
-,2026000129,059.7714B,02,2026000129,0,01,해당지역,2,45
-,2026000129,059.7714B,02,2026000129,0,02,기타지역,2,45
14.79,2026000129,084.6688A,03,2026000129,1568,01,해당지역,1,106
-,2026000129,084.6688A,03,2026000129,222,02,기타지역,1,106
-,2026000129,084.6688A,03,2026000129,0,01,해당지역,2,106
-,2026000129,084.6688A,03,2026000129,0,02,기타지역,2,106
5.75,2026000129,084.4529B,04,2026000129,586,01,해당지역,1,102
-,2026000129,084.4529B,04,2026000129,96,02,기타지역,1,102
-,2026000129,084.4529B,04,2026000129,0,01,해당지역,2,102
-,2026000129,084.4529B,04,2026000129,0,02,기타지역,2,102
1.91,2026000129,104.2229A,05,2026000129,511,01,해당지역,1,267
-,2026000129,104.2229A,05,2026000129,93,02,기타지역,1,267
-,2026000129,104.2229A,05,2026000129,202,01,해당지역,2,267
-,2026000129,104.2229A,05,2026000129,48,02,기타지역,2,267
2.33,2026000129,119.6029A,06,2026000129,147,01,해당지역,1,63
-,2026000129,119.6029A,06,2026000129,14,02,기타지역,1,63
-,2026000129,119.6029A,06,2026000129,39,01,해당지역,2,63
-,2026000129,119.6029A,06,2026000129,10,02,기타지역,2,63
(△297),2026000127,084.9982C,01,2026000127,10,01,해당지역,1,307
(△295),2026000127,084.9982C,01,2026000127,2,02,기타지역,1,307
(△285),2026000127,084.9982C,01,2026000127,10,01,해당지역,2,307
(△280),2026000127,084.9982C,01,2026000127,5,02,기타지역,2,307
(△33),2026000124,074.5900A,01,2026000124,18,01,해당지역,1,169
(△133),2026000124,074.5900A,01,2026000124,8,02,기타지역,1,169
(△57),2026000124,074.5900A,01,2026000124,10,03,기타경기,1,169
(△39),2026000124,074.5900A,01,2026000124,1,01,해당지역,2,169
(△126),2026000124,074.5900A,01,2026000124,3,02,기타지역,2,169
(△63),2026000124,074.5900A,01,2026000124,3,03,기타경기,2,169
(△29),2026000124,074.7200B,02,2026000124,9,01,해당지역,1,126
(△106),2026000124,074.7200B,02,2026000124,4,02,기타지역,1,126
(△47),2026000124,074.7200B,02,2026000124,7,03,기타경기,1,126
(△32),2026000124,074.7200B,02,2026000124,0,01,해당지역,2,126
(△105),2026000124,074.7200B,02,2026000124,1,02,기타지역,2,126
(△53),2026000124,074.7200B,02,2026000124,0,03,기타경기,2,126
(△32),2026000124,084.5600A,03,2026000124,11,01,해당지역,1,144
(△106),2026000124,084.5600A,03,2026000124,15,02,기타지역,1,144
(△49),2026000124,084.5600A,03,2026000124,12,03,기타경기,1,144
(△31),2026000124,084.5600A,03,2026000124,1,01,해당지역,2,144
(△100),2026000124,084.5600A,03,2026000124,4,02,기타지역,2,144
(△51),2026000124,084.5600A,03,2026000124,1,03,기타경기,2,144
(△37),2026000124,084.5600B,04,2026000124,9,01,해당지역,1,153
(△136),2026000124,084.5600B,04,2026000124,3,02,기타지역,1,153
(△63),2026000124,084.5600B,04,2026000124,5,03,기타경기,1,153
(△40),2026000124,084.5600B,04,2026000124,1,01,해당지역,2,153
(△134),2026000124,084.5600B,04,2026000124,0,02,기타지역,2,153
(△66),2026000124,084.5600B,04,2026000124,1,03,기타경기,2,153
15.00,2026000124,084.9400C,05,2026000124,15,01,해당지역,1,3
32.00,2026000124,084.9400C,05,2026000124,9,02,기타지역,1,3
24.00,2026000124,084.9400C,05,2026000124,10,03,기타경기,1,3
-,2026000124,084.9400C,05,2026000124,3,01,해당지역,2,3
-,2026000124,084.9400C,05,2026000124,0,02,기타지역,2,3
-,2026000124,084.9400C,05,2026000124,0,03,기타경기,2,3
(△33),2026000121,084.9421A,01,2026000121,25,01,해당지역,1,58
(△31),2026000121,084.9421A,01,2026000121,2,02,기타지역,1,58
(△27),2026000121,084.9421A,01,2026000121,4,01,해당지역,2,58
(△26),2026000121,084.9421A,01,2026000121,1,02,기타지역,2,58
(△2),2026000121,084.8550B,02,2026000121,13,01,해당지역,1,15
(△2),2026000121,084.8550B,02,2026000121,0,02,기타지역,1,15
1.50,2026000121,084.8550B,02,2026000121,3,01,해당지역,2,15
-,2026000121,084.8550B,02,2026000121,0,02,기타지역,2,15
(△33),2026000121,084.8958C,03,2026000121,26,01,해당지역,1,59
(△30),2026000121,084.8958C,03,2026000121,3,02,기타지역,1,59
(△23),2026000121,084.8958C,03,2026000121,7,01,해당지역,2,59
(△23),2026000121,084.8958C,03,2026000121,0,02,기타지역,2,59
(△58),2026000121,104.9032 ,04,2026000121,3,01,해당지역,1,61
(△58),2026000121,104.9032 ,04,2026000121,0,02,기타지역,1,61
(△53),2026000121,104.9032 ,04,2026000121,5,01,해당지역,2,61
(△53),2026000121,104.9032 ,04,2026000121,0,02,기타지역,2,61
22.00,2026000115,074.9524A,01,2026000115,22,01,해당지역,1,1
-,2026000115,074.9524A,01,2026000115,3,02,기타지역,1,1
-,2026000115,074.9524A,01,2026000115,0,01,해당지역,2,1
